Java HotSpot(TM) 64-Bit Server VM (25.102-b04) for windows-amd64 JRE (1.8.0_102-ea-b04), built on Apr 25 2016 15:49:58 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8248824k(1764476k free), swap 16495788k(8439608k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=c:/temp -XX:InitialHeapSize=131981184 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseGCOverheadLimit -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.984: [GC (Allocation Failure) [PSYoungGen: 32768K->5110K(37888K)] 32768K->12045K(123904K), 0.1852915 secs] [Times: user=0.06 sys=0.02, real=0.18 secs] 
1.201: [GC (Allocation Failure) [PSYoungGen: 37878K->5104K(70656K)] 44813K->28236K(156672K), 0.1456447 secs] [Times: user=0.03 sys=0.00, real=0.15 secs] 
1.393: [GC (Allocation Failure) [PSYoungGen: 70640K->5107K(70656K)] 93772K->60252K(156672K), 0.0119831 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
5.098: [Full GC (Ergonomics) [PSYoungGen: 76800K->76768K(81920K)] [ParOldGen: 175101K->174966K(175104K)] 251901K->251734K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0269497 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
5.126: [Full GC (Ergonomics) [PSYoungGen: 76798K->76787K(81920K)] [ParOldGen: 174966K->174947K(175104K)] 251765K->251734K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0192895 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
5.145: [Full GC (Ergonomics) [PSYoungGen: 76794K->76787K(81920K)] [ParOldGen: 175101K->175024K(175104K)] 251896K->251812K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0218651 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
5.168: [Full GC (Ergonomics) [PSYoungGen: 76793K->76787K(81920K)] [ParOldGen: 175101K->175062K(175104K)] 251894K->251850K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0203256 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
5.189: [Full GC (Ergonomics) [PSYoungGen: 76792K->76787K(81920K)] [ParOldGen: 175101K->175081K(175104K)] 251893K->251869K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0166568 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
5.205: [Full GC (Ergonomics) [PSYoungGen: 76791K->76787K(81920K)] [ParOldGen: 175101K->175101K(175104K)] 251892K->251889K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0216245 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
5.227: [Full GC (Allocation Failure) [PSYoungGen: 76787K->76787K(81920K)] [ParOldGen: 175101K->174999K(175104K)] 251889K->251787K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0656059 secs] [Times: user=0.11 sys=0.00, real=0.07 secs] 
5.293: [Full GC (Ergonomics) [PSYoungGen: 76790K->76788K(81920K)] [ParOldGen: 175095K->175037K(175104K)] 251885K->251825K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0157171 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
5.309: [Full GC (Ergonomics) [PSYoungGen: 76790K->76788K(81920K)] [ParOldGen: 175095K->175076K(175104K)] 251885K->251864K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0427003 secs] [Times: user=0.01 sys=0.00, real=0.04 secs] 
5.352: [Full GC (Ergonomics) [PSYoungGen: 76790K->76788K(81920K)] [ParOldGen: 175095K->175076K(175104K)] 251885K->251864K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0336354 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
5.386: [Full GC (Ergonomics) [PSYoungGen: 76790K->76788K(81920K)] [ParOldGen: 175095K->175095K(175104K)] 251885K->251883K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0266427 secs] [Times: user=0.01 sys=0.00, real=0.03 secs] 
5.413: [Full GC (Allocation Failure) [PSYoungGen: 76788K->76788K(81920K)] [ParOldGen: 175095K->175095K(175104K)] 251883K->251883K(257024K), [Metaspace: 3145K->3145K(1056768K)], 0.0237111 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
7.140: [Full GC (Ergonomics) [PSYoungGen: 76800K->76791K(81920K)] [ParOldGen: 175098K->175076K(175104K)] 251898K->251867K(257024K), [Metaspace: 3170K->3170K(1056768K)], 0.0496554 secs] [Times: user=0.11 sys=0.00, real=0.05 secs] 
Heap
 PSYoungGen      total 81920K, used 76800K [0x00000000fab00000, 0x0000000100000000, 0x0000000100000000)
  eden space 76800K, 100% used [0x00000000fab00000,0x00000000ff600000,0x00000000ff600000)
  from space 5120K, 0% used [0x00000000ff600000,0x00000000ff600000,0x00000000ffb00000)
  to   space 5120K, 0% used [0x00000000ffb00000,0x00000000ffb00000,0x0000000100000000)
 ParOldGen       total 175104K, used 175076K [0x00000000f0000000, 0x00000000fab00000, 0x00000000fab00000)
  object space 175104K, 99% used [0x00000000f0000000,0x00000000faaf9138,0x00000000fab00000)
 Metaspace       used 3177K, capacity 4494K, committed 4864K, reserved 1056768K
  class space    used 346K, capacity 386K, committed 512K, reserved 1048576K
